Date,HS Code ,Product Name,Quantity,Unit,Unit Price (USD),CIF Value (USD),Importer Name,Supplier Name,Foreign Country
14-Mar-22,85030090,"CONVERTER WIND POWER 12X WF1000-06L0270-CPH-A DOUBLY-
FED LIQUID COOLING WIND POWER CONVERTER POWER GENERATION CAPACITY",3,NOS,35196.885,105590.654,SUZLON ENERGY LTD,VERTIV NEW ENERGY CO LTD,NETHERLANDS
15-Oct-21,85030090,"CONVERTER WIND POWER 11X WF100006L0210 CPN-A ORCA DOUBLY-
FED-WATER-COOLING P/N: 01100255 (PARTS OF WIND OPERATED ELECTR",42,NOS,24590.704,1032809.577,SUZLON ENERGY LTD,VERTIV TECH CO LTD,UNITED KINGDOM
16-Feb-22,85030090,"CONVERTER WIND POWER 11X
WF1000-06L0270-CPH-A DOUBLY-FED LIQUID COOLING P/N:01100255
(PARTS OF WIND OPERATED ELECTRICIT",21,PCS,24435.443,513144.305,SUZLON ENERGY LTD,VERTIV NEW ENERGY CO LTD,CHINA
16-Feb-22,85030090,"CONVERTER WIND POWER 11X WF1000-06L0270-CPH-A DOUBLY-
FED LIQUID COOLING P/N:01100255 (PARTS OF WIND OPERATED
ELECTRICIT",17,NOS,24435.443,415402.533,SUZLON ENERGY LTD,VERTIV NEW ENERGY CO LTD,CHINA
16-Feb-22,85030090,"CONVERTER WIND POWER 11X WF1000-06L0270-CPH-A DOUBLY-
FED LIQUID COOLING P/N:01100255 (PARTS OF WIND OPERATED ELECTRICIT",17,NOS,24435.443,415402.533,SUZLON ENERGY LTD,VERTIV NEW ENERGY CO LTD,GERMANY
29-Nov-21,85030090,"CONVERTER WIND POWER 11X WF100006L0210 CPN-A ORCA DOUBLY-FED-WATER-COOLING P/N: 01100255 (PARTS OF WIND
OPERATED ELECTR",10,SET,24261.292,242612.916,SUZLON ENERGY LTD,VERTIV TECH CO LTD,CHINA
29-Nov-21,85030090,"CONVERTER WIND POWER 11X WF100006L0210 CPN-A ORCA
DOUBLY-FED-WATER-COOLING P/N: 01100255 (PARTS OF WIND OPERATED ELECTR",10,NOS,24261.292,242612.916,SUZLON ENERGY LTD,VERTIV TECH CO LTD,CHINA
14-Feb-22,85030090,"CONVERTER WIND POWER 11X
WF1000-06L0210-CPN-A ORCA DOUBLY- FED WATER COOLING P/N:01100255 (PARTS OF WIND OPERATED ELECTR",21,NOS,24053.109,505115.287,SUZLON ENERGY LTD,VERTIV NEW ENERGY CO LTD,CHINA
08-Nov-21,85030090,"CONVERTER WIND POWER 11X
WF100006L0210 CPN-A ORCA DOUBLY- FED-WATER-COOLING P/N: 01100255 (PARTS OF WIND OPERATED ELECTR",21,NOS,23847.915,500806.221,SUZLON ENERGY LTD,VERTIV TECH CO LTD,CHINA
26-Oct-21,85030090,MAIN SHAFT M334.000985-04 STV (PARTS OF W.O.E.G. FOR MFG OFS120 TYPE( WIND TURBINE GENERATORS),22,SET,23455.423,516019.296,SUZLON ENERGY LTD,TONGYU HEAVY INDUSTRY CO LTD,GERMANY
26-Oct-21,85030090,MAIN SHAFT M334.000985-04 STV (PARTS OF W.O.E.G. FOR MFG OFS120 TYPE( WIND TURBINE GENERATORS),22,SET,23455.423,516019.296,SUZLON ENERGY LTD,TONGYU HEAVY INDUSTRY CO LTD,GERMANY
02-Dec-21,85030090,MAIN SHAFT M334.000985-04 STV (PARTS OF W.O.E.GENERATORS FORMFG OF S120 WIND TURBINE GENERATORS),20,SET,23306.655,466133.1,SUZLON ENERGY LTD,"TONGYU HEAVY
INDUSTRY CO LTD",CHINA
15-Nov-21,85030090,MAIN SHAFT M334.000985-04 STV (PARTS OF W.O.E.G. FOR MFG OFS120 TYPE( WIND TURBINE GENERATORS),22,SET,23024.186,506532.085,SUZLON ENERGY LTD,TONGYU HEAVY INDUSTRY CO LTD,CHINA
27-Jun-22,85044029,"ZT-2551 CR RS-485/RS-232 TO ZIGBEE CONVERTER MODULE (PARTSOF
WIND OPERATED ELECTRICITY
GENERATORS FOR MANF. OF WOEGS)",1,NOS,292.823,292.823,SUZLON ENERGY LTD,ICP DAS CO LTD,CHINA
30-Jan-24,39211100,DIVINYCELL PVC FOAM SHEET 3000187- H60 20 PF20 2440X1220 (RAWMATERIAL FOR THE MFG OF WOEG),165,PCS,50.444,8323.261,SUZLON ENERGY LTD,DIAB AB,SWEDEN
15-Nov-21,85030090,"MAIN SHAFT M334.000985-04 STV (PARTS OF W.O.E.G. FOR MFG OFS120 TYPE( WIND TURBINE
GENERATORS)",22,SET,23024.186,506532.085,SUZLON ENERGY LTD,"TONGYU HEAVY
INDUSTRY CO LTD",NETHERLANDS
31-Jan-24,39209299,"VACUUM BAGGING FILM LVBF600Y
L:131M W:6M T:50UM V-SHEET(ITEMNO.51068044) INV NO. SHLG20230907SUZ49(RAW MATERIAL FOR TH",11760,KGS,5.587,65706.604,"SUZLON
ENERGY","SHANGHAI LEADGO
TECH CO LTD",CHINA
27-Jun-22,85044029,"ZT-2551 CR RS-485/RS-232 TO ZIGBEE CONVERTER MODULE (PARTSOF
WIND OPERATED ELECTRICITY GENERATORS FOR MANF. OF WOEGS)",1,NOS,292.823,292.823,SUZLON ENERGY LTD,ICP DAS CO LTD,GERMANY
27-Jun-22,85044029,"ZT-2550 CR RS-485/RS-232 TO ZIGBEE CONVERT MODULE (PARTS OFWIND OPERATED ELECTRICITY GENERATORS FOR MANF. OF
WOEGS)",1,NOS,300.502,300.502,SUZLON ENERGY LTD,ICP DAS CO LTD,TAIWAN
24-May-22,90159000,"ZA161/1 WEATHER GUARD FOR CABLE VERSIONS 20MM TO
PROTECT AGAINST RAIN AND SUN",9,NOS,196.886,1771.978,SUZLON ENERGY LTD,GALLTEC MESS UND REFELTECHNIK GMBH,CHINA
17-Jan-24,73181900,8MM SNAP HOOK - 51048472 (50 PCS) (PARTS OF WIND OPERATED ELECTRICITY GENERATORS FOR MANF. OF WOEGS)(50PCS),3.2,KGS,33.402,106.887,SUZLON ENERGY LTD,DARAC LTD,UNITED KINGDOM
17-Jan-24,73151290,5X35X250MM LONG LINK CHAIN DIN763- A4 STAINLESS -51067069 (50PCS) (PARTS OF WIND OPERATED ELECTRICITY GENERATOR FOR MANUF,5,KGS,29.982,149.911,SUZLON ENERGY LTD,DARAC LTD,UNITED KINGDOM
14-Jul-23,85354010,LPS FOR SB70 ITEM NO. 608762 (BLADE LIGHTNING PROTECTION KIT)(PARTS OF WIND OPERATED ELECTRICITY GENERATORS FOR MANF. OF,12,NOS,4267.164,51205.972,SUZLON ENERGY LTD,POLYTECH A S,DENMARK
16-Dec-21,85030090,MAIN SHAFT M334.000985-04 STV (PARTS OF W.O.E.G. FOR MFG OFS120 TYPE( WIND TURBINE GENERATORS),32,SET,22906.866,733019.702,SUZLON ENERGY LTD,TONGYU HEAVY INDUSTRY CO LTD,CHINA
24-Dec-21,85030090,"MAIN SHAFT M334.000985-04 STV (PARTS OF W.O.E.GENERATORS
FORMFG OF S120 TYPE WIND TURBINE GENERATORS)",18,SET,22888.456,411992.199,SUZLON ENERGY LTD,"TONGYU HEAVY
INDUSTRY CO LTD",CHINA
03-Jan-24,73181500,SCREW SKT. HD 3/8-16 X3 (335-38-48) (PARTS OF W O E G),6,PCS,3.114,18.685,SUZLON ENERGY LTD,EASTMAN C R A (HONG KONG) LTD,UNITED STATES OF AMERICA
24-Dec-21,85030090,MAIN SHAFT M334.000985-04 STV (PARTS OF W.O.E.GENERATORS FORMFG OF S120 TYPE WIND TURBINE GENERATORS),6,SET,22888.456,137330.738,SUZLON ENERGY LTD,TONGYU HEAVY INDUSTRY CO LTD,GERMANY
22-Jan-22,85030090,MAIN SHAFT M334.000985-04 STV (PARTS OF W.O.E.GENERATORS FORMFG OF S120 TYPE WIND TURBINE GENERATORS),10,SET,22837.456,228374.559,SUZLON ENERGY LTD,TONGYU HEAVY INDUSTRY CO LTD,CHINA
22-Jan-22,85030090,MAIN SHAFT M334.000985-04 STV (PARTS OF W.O.E.GENERATORS FORMFG OF S120 TYPE WIND TURBINE GENERATORS),10,SET,22837.456,228374.559,SUZLON ENERGY LTD,TONGYU HEAVY INDUSTRY CO LTD,GREECE
30-Jan-24,84833000,S11X REAR FRAME OF MAIN FRAME CROSS BEAM M324.000667 (PARTSOF W.O.E.GENERATOR FOR MFG OF TYPE S120),26,PCS,807.814,21003.158,SUZLON ENERGY LTD,CHANGZHOU SHUANGYE MACHINERY AND ELECTIC CO LTD,CHINA
22-Jan-22,85030090,"MAIN SHAFT M334.000985-04 STV (PARTS OF W.O.E.GENERATORS
FORMFG OF S120 TYPE WIND TURBINE GENERATORS)",6,NOS,22836.728,137020.371,SUZLON ENERGY LTD,"TONGYU HEAVY
INDUSTRY CO LTD",GERMANY
09-Jan-24,84839000,"SHRINK DISC S11X (CONEX SA 720 X 1068 SUZLON DRW. 10.831 BLUE RAL
5021) (PARTS FOR W. O. E.G. FOR MFG.)",20,NOS,5750.119,115002.378,SUZLON ENERGY LTD,COMPOMAC S P A,ITALY
12-Jan-24,84839000,"SHRINK DISC S11X (CONEX SA 720 X 1060 SUZLON DRW. 10.1170 BLUE RAL
5021) (PARTS FOR W. O. E.G. FOR MFG.)",4,NOS,2822.41,11289.64,SUZLON ENERGY LTD,COMPOMAC S P A,ITALY
20-Jan-22,85030090,MAIN SHAFT M334.000985-04 STV (PARTS OF W.O.E.GENERATORS FORMFG OF TYPE S120),20,PCS,22715.381,454307.626,SUZLON ENERGY LTD,"TONGYU HEAVY
INDUSTRY CO LTD",CHINA
06-Jun-22,84519000,Y-AXIS I/O CABLE ASSY. 125 (31-S3354- 78)(EASTMAN BRAND SPAREPARTS OF MACHINE) (PARTS OF WIND OPERATED ELECTRICITY GENER,1,NOS,382.085,382.085,SUZLON ENERGY LTD,EASTMAN C R A (HONG KONG) LTD,HONG KONG
23-Sep-23,39219099,XF2-M79-LT/60%/65F/G/1240MM - SURFACE VEIL (30/7317/WIND) GLASS PREPREG/LAMINATES (606.60 SQM) (FOC),55.44,KGS,49.657,2752.975,SUZLON ENERGY LTD,"HEXCEL
COMPOSITES GMBH AND CO KG",GERMANY
10-Jan-24,68151900,UDC CARBON EPOXY PULTRUDED PLATE 60MMX3MM(ITEM NO.FC65E3.0- 060) 32400METER (RAW MATERIAL FOR MNF OF WOEG),9558,KGS,21.659,207018.669,SUZLON ENERGY LTD,ZOLTEK CORPORATION,UNITED STATES OF AMERICA
15-Jan-24,68151900,UDC CARBON EPOXY PULTRUDED PLATE 60MMX3MM(ITEM NO. FC65E3.0- 060) 33525 METER (RAW MATERIAL FOR MNF OF WOEG),9889.87,KGS,20.644,204169.706,SUZLON ENERGY LTD,ZOLTEK CORPORATION,UNITED STATES OF AMERICA
09-Jan-24,44072200,BALSASUD CORE SG 1.75 FLEXIBLE (NON-COATED) (RAW MATERIAL FOR THE MFG OF W.O.E.GENERATORS),667.547,SQM,38.155,25470.027,SUZLON ENERGY LTD,CORELITE INTERNATIONAL LLC,ECUADOR
08-May-23,84519000,"X-AXIS ECHAIN CABLE FOR Y MOTO 31-27258-4.4 (PARTS OF
WINDOPERATED ELECTRICITY GENERATORS FOR MANF. OF WOEGS)",1,NOS,747.25,747.25,SUZLON ENERGY LTD,EASTMAN C R A (HONG KONG) LTD,GERMANY
08-May-23,84519000,"X-AXIS ECHAIN CABLE FOR Y MOTO 31- 27258-4.4 (PARTS OF WINDOPERATED
ELECTRICITY GENERATORS FOR MANF. OF WOEGS)",1,NOS,747.25,747.25,SUZLON ENERGY LTD,EASTMAN C R A (HONG KONG) LTD,ECUADOR
16-Oct-23,90249000,"X6BHG-0L HYDROGLIDER
X6BHG001-SERIAL NO. 0015 (RAW MATERIALFOR THE MANUFACTURE OF WIND OPERATED ELECTRICITY GENERATOR)",1,NOS,227.126,227.126,SUZLON ENERGY LTD,SONATEST LTD,"UNITED
KINGDOM"
17-Jan-24,84669200,CUTTING SAW 560MM HAITCH M/C- ITEM.CODE.5245538 (PARTS OF WOEG),1,NOS,1035.014,1035.014,SUZLON ENERGY LTD,HAITCH CO LTD,CHINA
20-Jan-22,85030090,MAIN SHAFT M334.000985-04 STV (PARTS OF W.O.E.GENERATORS FORMFG OF TYPE S120),1296,PCS,22715.381,454307.626,SUZLON ENERGY LTD,"TONGYU HEAVY
INDUSTRY CO LTD",CHINA
10-Mar-22,85030090,"MAIN SHAFT M334.000985-04 STV (PARTS OF W.O.E.GENERATORS FORMFG OF S120 TYPE WIND
TURBINE GENERATORS)",20,PCS,22415.146,448302.922,SUZLON ENERGY LTD,"TONGYU HEAVY
INDUSTRY CO LTD",CHINA
10-Mar-22,85030090,MAIN SHAFT M334.000985-04 STV (PARTS OF W.O.E.GENERATOR FORMFG OF S120 TYPE WIND TURBINE GENERATORS),20,SET,22415.146,448302.922,SUZLON ENERGY LTD,TONGYU HEAVY INDUSTRY CO LTD,CHINA
30-Jan-24,39211100,DIVINYCELL PVC FOAM SHEET 3000187- H60 20 PF20 2440X1220 (RAWMATERIAL FOR THE MFG OF WOEG),165,PCS,50.464,8326.637,SUZLON ENERGY LTD,DIAB AB,SWEDEN
30-Jan-24,39211100,DIVINYCELL PVC FOAM SHEET 3000273- H60 25 PF20 2440X1220 (RAWMATERIAL FOR THE MFG OF WOEG),408,PCS,60.801,24806.783,SUZLON ENERGY LTD,DIAB AB,SWEDEN
30-Jan-24,39211100,DIVINYCELL PVC FOAM SHEET 3000187- H60 20 PF20 2440X1220 (RAWMATERIAL FOR THE MFG OF WOEG),165,PCS,50.464,8326.637,SUZLON ENERGY LTD,DIAB AB,SWEDEN
07-Jan-22,85030090,"MAIN SHAFT M334.000985-04 STV (PARTS OF W.O.E.G. FOR MFG OFS120 TYPE( WIND TURBINE
GENERATORS)",7,NOS,22390.381,156732.669,SUZLON ENERGY LTD,"TONGYU HEAVY
INDUSTRY CO LTD",CHINA
07-Jan-22,85030090,"MAIN SHAFT M334.000985-04 STV (PARTS OF W.O.E.G. FOR MFG OFS120 TYPE( WIND TURBINE
GENERATORS)",5,NOS,22390.381,111951.906,SUZLON ENERGY LTD,"TONGYU HEAVY
INDUSTRY CO LTD",CHINA
30-Jan-24,39211100,DIVINYCELL PVC FOAM SHEET 3000273- H60 25 PF20 2440X1220 (RAWMATERIAL FOR THE MFG OF WOEG),408,PCS,60.776,24796.724,SUZLON ENERGY LTD,DIAB AB,SWEDEN
30-Jan-24,39211100,DIVINYCELL PVC FOAM SHEET 3000174- H60 30 PF20 2440X1220 (RAWMATERIAL FOR THE MFG OF WOEG),100,PCS,71.127,7112.7,SUZLON ENERGY LTD,DIAB AB,SWEDEN
27-Nov-21,85030090,"MAIN SHAFT M334.000985-04 STV S120/2.1 MW (PARTS OF
W.O.E.GENERATORS)",10,SQM,22321.14,223211.398,SUZLON ENERGY LTD,JINLEI TECHNOLOGY CO LTD,CHINA
